GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kalaha,com.kaan.kalaha.security.service,UserDetailsServiceImpl,0,33,0,4,0,7,0,4,0,2
kalaha,com.kaan.kalaha.service.impl,AuthServiceImpl,11,209,2,8,2,43,2,11,0,8
kalaha,com.kaan.kalaha.service.impl,KalahaBoardServiceImpl,0,25,0,0,0,5,0,3,0,3
kalaha,com.kaan.kalaha.service.impl,KalahaGameServiceImpl,1,240,2,10,0,51,2,13,0,9
kalaha,com.kaan.kalaha.service.impl,KalahaGameHelper,17,184,7,35,0,32,7,33,0,17
kalaha,com.kaan.kalaha.service.impl,KalahaPitServiceImpl,0,112,0,4,0,19,0,6,0,4
kalaha,com.kaan.kalaha.service.impl,KalahaPlayServiceImpl,0,77,0,2,0,14,0,4,0,3
kalaha,com.kaan.kalaha.service.impl,KalahaPlayerServiceImpl,0,41,0,0,0,9,0,5,0,5
kalaha,com.kaan.kalaha.dto,LoginRequest,0,17,0,0,0,4,0,5,0,5
kalaha,com.kaan.kalaha.dto,RegisterRequest,0,24,0,0,0,5,0,7,0,7
kalaha,com.kaan.kalaha.exception,AuthenticationException,3,6,0,0,1,3,1,1,1,1
kalaha,com.kaan.kalaha.exception,NoStoneToSowException,3,6,0,0,1,3,1,1,1,1
kalaha,com.kaan.kalaha.exception,GlobalExceptionHandler,26,3,0,0,4,1,2,1,2,1
kalaha,com.kaan.kalaha.exception,GameNotFoundException,3,6,0,0,1,3,1,1,1,1
kalaha,com.kaan.kalaha.exception,UserNotLoggedInException,3,6,0,0,1,3,1,1,1,1
kalaha,com.kaan.kalaha.exception,JWTTokenException,6,0,0,0,3,0,1,0,1,0
kalaha,com.kaan.kalaha,KalahaApplication,5,3,0,0,2,1,1,1,1,1
kalaha,com.kaan.kalaha.security.util,JwtUtil,38,20,0,0,11,8,2,2,2,2
kalaha,com.kaan.kalaha.entity,KalahaBoard,102,18,22,0,0,5,16,4,5,4
kalaha,com.kaan.kalaha.entity,KalahaPit,187,45,40,0,1,12,28,8,8,8
kalaha,com.kaan.kalaha.entity,KalahaGame,211,74,53,1,0,13,29,16,2,16
kalaha,com.kaan.kalaha.entity,KalahaPlayer,82,125,24,14,0,11,17,16,1,13
kalaha,com.kaan.kalaha.entity,BaseEntity,147,0,30,0,6,0,25,0,10,0
kalaha,com.kaan.kalaha.service,KalahaRule,4,12,1,1,1,3,1,1,0,1
kalaha,com.kaan.kalaha.security.filter,JwtFilter,93,0,4,0,28,0,8,0,6,0
kalaha,com.kaan.kalaha.enums,PlayerTurn,0,15,0,0,0,3,0,1,0,1
kalaha,com.kaan.kalaha.enums,PitType,0,15,0,0,0,3,0,1,0,1
kalaha,com.kaan.kalaha.enums,GameState,0,21,0,0,0,4,0,1,0,1
kalaha,com.kaan.kalaha.gameRules,KalahaIsPlayerInTurnRule,0,71,0,2,0,16,0,7,0,6
kalaha,com.kaan.kalaha.gameRules,KalahaGameFinishRule,0,74,1,3,0,17,1,5,0,4
kalaha,com.kaan.kalaha.gameRules,KalahaCaptureRule,12,162,3,5,6,38,6,8,3,7
kalaha,com.kaan.kalaha.gameRules,KalahaStoneSowingRule,4,126,3,11,4,34,3,8,0,4
kalaha,com.kaan.kalaha.gameRules,KalahaValidateStartingPositionAndStoneCountByTurnRule,0,58,0,2,0,14,0,5,0,4
kalaha,com.kaan.kalaha.gameRules,KalahaGameStartRule,0,37,0,0,0,8,0,4,0,4
kalaha,com.kaan.kalaha.gameRules,KalahaIsLastPitOnPlayersHouseRule,0,48,0,2,0,11,0,5,0,4
kalaha,com.kaan.kalaha.gameRules,KalahaIsStartingPitStoreRule,0,41,0,2,0,9,0,5,0,4
kalaha,com.kaan.kalaha.gameRules,KalahaPostFinishGameRule,0,89,0,0,0,23,0,7,0,7
kalaha,com.kaan.kalaha.gameRules,KalahaIsGameInProgressRule,0,47,0,4,0,10,0,7,0,5
kalaha,com.kaan.kalaha.config,GeneralConfig,11,0,0,0,3,0,3,0,3,0
kalaha,com.kaan.kalaha.config,JwtFilterConfig,8,0,0,0,2,0,2,0,2,0
kalaha,com.kaan.kalaha.config,SpringSecurityConfig,0,173,0,0,0,31,0,3,0,3
kalaha,com.kaan.kalaha.config,OpenApi3Config,50,0,0,0,15,0,2,0,2,0
kalaha,com.kaan.kalaha.config.cache,InMemoryCacheManager,34,0,2,0,9,0,5,0,4,0
kalaha,com.kaan.kalaha.security.model,SecurityUser,16,9,0,0,6,4,6,2,6,2
kalaha,com.kaan.kalaha.controller,AuthController,9,50,0,2,3,11,0,5,0,4
kalaha,com.kaan.kalaha.controller,GameController,0,61,0,0,0,12,0,7,0,7
kalaha,com.kaan.kalaha.constant,KalahaGameConstants,3,0,0,0,1,0,1,0,1,0
